cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
flops;['kahypar'];BB Tanner;30;0;669324468682216407446991250919168;3058588512256.0;3058588516096.0;1099511627776;0.01742;319.9226493835449
custom_flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;2.20172119140625
custom_flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;6.4823713302612305
custom_flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;27.608897924423218
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.06055712699890137
flops;['greedy'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;0.16636395454406738
flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;0.49100375175476074
custom_flops;['kahypar'];BB Tanner;18;0;4722655557680395454720;152655872.0;152658176.0;16777216;0.02908;330.391672372818
custom_flops;['kahypar'];BB Tanner;30;0;20774575027770477307319312863727360;1931363119104.0;1931363122944.0;549755813888;0.01742;312.09913325309753
flops;['kahypar'];BB Tanner;18;0;321199320095659714152704;2274903040.0;2274905344.0;1073741824;0.02905;310.5145709514618
flops;['kahypar'];BB Tanner;30;0;19437359604685104353906432;100098110920770.0;100098110924610.0;70368744177664;0.01731;681.4600560665131
custom_flops;['kahypar'];Rotated Surface Tanner;9;0;431536;492.0;732.0;64;0.11963;301.9523448944092
custom_flops;['kahypar'];Rotated Surface Tanner;25;0;1190103791718457473248;4604919460.0;4604925700.0;4294967296;0.03367;378.39411783218384
flops;['kahypar'];Rotated Surface Tanner;9;0;406448;516.0;756.0;64;0.13525;301.37452697753906
flops;['kahypar'];Rotated Surface Tanner;25;0;77375976002083633142244320;108094898544.0;108094904784.0;68719476736;0.03642;331.98683524131775
custom_flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;5.614845037460327
custom_flops;['kahypar'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;66.34152007102966
custom_flops;['kahypar'];Concatenated Repetition;81;0;3132;488.0;1116.0;16;0.54046;303.33466601371765
flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;5.648814916610718
flops;['kahypar'];Concatenated Repetition;27;0;588;124.0;320.0;16;0.58333;73.44823265075684
flops;['kahypar'];Concatenated Repetition;81;0;3132;502.0;1130.0;16;0.54367;300.73078775405884
custom_flops;['greedy'];Holographic;25;0;13104;2560.0;2736.0;256;0.925;9.448794841766357
custom_flops;['greedy'];Holographic;95;0;70055504;2577216.0;2578192.0;262144;0.84375;86.3821918964386
flops;['greedy'];Holographic;25;0;13104;3136.0;3312.0;256;0.925;0.22447991371154785
flops;['greedy'];Holographic;95;0;1504464;2031744.0;2032720.0;65536;0.37344;1.6752536296844482
custom_flops;['greedy'];Hamming Tanner;7;0;1623004;784.0;1004.0;256;0.11165;19.103372812271118
custom_flops;['greedy'];Hamming Tanner;15;0;22799546264734320;1834240.0;1836912.0;1048576;0.04646;71.41604971885681
flops;['greedy'];Hamming Tanner;7;0;1623004;768.0;988.0;256;0.1123;0.4174075126647949
flops;['greedy'];Hamming Tanner;15;0;295375559280;6006352.0;6009024.0;1048576;0.04922;1.0706424713134766
custom_flops;['greedy'];BB Tanner;18;0;1284502148947914942318848;647484416.0;647486720.0;268435456;0.02905;179.9962990283966
custom_flops;['greedy'];BB Tanner;30;0;19515756547411712;5814915139650.0;5814915143490.0;549755813888;0.01698;308.65856289863586
flops;['greedy'];BB Tanner;18;0;22310887622912;5719427200.0;5719429504.0;1073741824;0.02905;4.324925184249878
flops;['greedy'];BB Tanner;30;0;19515550388981504;5454783957120.0;5454783960960.0;549755813888;0.01723;9.008733987808228
custom_flops;['greedy'];Hamming Tanner;7;0;1635292;816.0;1036.0;256;0.1084;20.276856422424316
custom_flops;['greedy'];Hamming Tanner;15;0;72343540212320880;1776704.0;1779376.0;1048576;0.04647;74.22048950195312
flops;['greedy'];Hamming Tanner;7;0;1389532;900.0;1120.0;256;0.1084;0.5154023170471191
flops;['greedy'];Hamming Tanner;15;0;295421762160;5990992.0;5993664.0;1048576;0.04926;2.1965129375457764
custom_flops;['greedy'];Rotated Surface;9;0;6720;68.0;132.0;8;0.17188;4.967959403991699
custom_flops;['greedy'];Rotated Surface;25;0;116032;1052.0;1308.0;64;0.07975;18.89301633834839
custom_flops;['greedy'];Rotated Surface;49;0;7597632;8840.0;9416.0;256;0.06201;51.5736825466156
flops;['greedy'];Rotated Surface;9;0;6656;124.0;188.0;16;0.23438;0.1472156047821045
flops;['greedy'];Rotated Surface;25;0;190720;952.0;1208.0;64;0.09375;0.4326901435852051
flops;['greedy'];Rotated Surface;49;0;7775296;6408.0;6984.0;128;0.06234;1.0410594940185547
custom_flops;['greedy'];BB MSP;18;0;218654017223843730;80937100.0;80942878.0;33554432;0.06813;242.27270436286926
custom_flops;['greedy'];BB MSP;30;0;168749647903010047049509585654461214;24554513396412.0;24554513406042.0;17592186044416;0.06362;306.0677134990692
flops;['greedy'];BB MSP;18;0;25331754177586;6685334.0;6691112.0;1048576;0.02427;14.115763187408447
flops;['greedy'];BB MSP;30;0;894566509612126230;1.0870098510380314e+18;1.087009851038041e+18;144115188075855872;0.03421;39.9385552406311
custom_flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;1.934777021408081
custom_flops;['kahypar'];Concatenated Repetition;27;0;1692;140.0;336.0;16;0.45443;14.52368712425232
custom_flops;['kahypar'];Concatenated Repetition;81;0;3132;488.0;1116.0;16;0.54046;97.47501039505005
flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.9953656196594238
flops;['kahypar'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;15.017601728439331
flops;['kahypar'];Concatenated Repetition;81;0;3132;488.0;1116.0;16;0.54046;101.43051290512085
custom_flops;['greedy'];Rotated Surface Tanner;9;0;431280;460.0;700.0;64;0.13379;22.969562530517578
custom_flops;['greedy'];Rotated Surface Tanner;25;0;19459749090749344;7392628.0;7398868.0;2097152;0.03567;171.03813242912292
flops;['greedy'];Rotated Surface Tanner;9;0;401072;692.0;932.0;128;0.17822;0.6314151287078857
flops;['greedy'];Rotated Surface Tanner;25;0;1422570696928;29216080.0;29222320.0;4194304;0.03731;5.189019680023193
custom_flops;['greedy'];Rotated Surface MSP;9;0;414769;1170.0;2051.0;128;0.1572;47.965527057647705
custom_flops;['greedy'];Rotated Surface MSP;25;0;1441206594773959481;4835512.0;4847153.0;524288;0.11305;309.0556917190552
flops;['greedy'];Rotated Surface MSP;9;0;106097;1244.0;2125.0;128;0.15614;2.394369125366211
flops;['greedy'];Rotated Surface MSP;25;0;666954683737;8921324.0;8932965.0;262144;0.07335;34.004408836364746
custom_flops;['kahypar'];Rotated Surface MSP;9;0;1402673;1328.0;2209.0;128;0.14039;303.3676211833954
custom_flops;['kahypar'];Rotated Surface MSP;25;0;1137441444551289;80286166.0;80297807.0;16777216;0.09448;4785.6351573467255
flops;['kahypar'];Rotated Surface MSP;9;0;392177;1412.0;2293.0;128;0.14981;264.7532515525818
flops;['kahypar'];Rotated Surface MSP;25;0;7920364439159577;29138774.0;29150415.0;8388608;0.09135;2699.759068965912
custom_flops;['greedy'];Rotated Surface MSP;9;0;415601;1178.0;2059.0;128;0.15667;88.7648913860321
custom_flops;['greedy'];Rotated Surface MSP;25;0;72636024671156089;2995588.0;3007229.0;524288;0.11748;305.77447414398193
flops;['greedy'];Rotated Surface MSP;9;0;105905;1310.0;2191.0;128;0.16258;2.3267228603363037
flops;['greedy'];Rotated Surface MSP;25;0;92007184669369;5214150.0;5225791.0;524288;0.11154;23.591864109039307
custom_flops;['greedy'];Hamming MSP;7;0;1202287;1238.0;1893.0;64;0.15326;14.690757036209106
custom_flops;['greedy'];Hamming MSP;15;0;3030447727087;560436.0;569315.0;131072;0.02277;55.75841951370239
flops;['greedy'];Hamming MSP;7;0;319631;1932.0;2587.0;128;0.15534;0.6403746604919434
flops;['greedy'];Hamming MSP;15;0;226382241767;11010315505.0;11010324384.0;1073741824;0.02983;3.697687864303589
custom_flops;['greedy'];BB MSP;18;0;26007389269714;18157720.0;18163498.0;2097152;0.03538;243.7109613418579
custom_flops;['greedy'];BB MSP;30;0;21272840229495240362486027035480377566;19947549727084.0;19947549736714.0;17592186044416;0.11322;306.75301599502563
flops;['greedy'];BB MSP;18;0;11898114911954;11455740.0;11461518.0;2097152;0.03468;15.828689098358154
flops;['greedy'];BB MSP;30;0;656496850082443286;2.89448727813694e+16;2.894487278137903e+16;2251799813685248;0.03195;28.40266489982605
custom_flops;['kahypar'];Rotated Surface MSP;9;0;343921;1340.0;2221.0;128;0.14643;302.74312138557434
custom_flops;['kahypar'];Rotated Surface MSP;25;0;181910638543961;38274974.0;38286615.0;33554432;0.09145;2127.446645259857
flops;['kahypar'];Rotated Surface MSP;9;0;711209;5562.0;6443.0;2048;0.13181;378.7509968280792
flops;['kahypar'];Rotated Surface MSP;25;0;96609321503367641101136051113;4.237177791396823e+28;4.237177791396823e+28;19807040628566084398385987584;0.05516;16990.228525877
custom_flops;['kahypar'];Hamming Tanner;7;0;1635292;816.0;1036.0;256;0.1084;113.16564178466797
custom_flops;['kahypar'];Hamming Tanner;15;0;289637824186436208;5045376.0;5048048.0;4194304;0.04646;472.69838762283325
flops;['kahypar'];Hamming Tanner;7;0;1635292;1040.0;1260.0;256;0.1084;107.60329532623291
flops;['kahypar'];Hamming Tanner;15;0;1171006621908290160;2955520.0;2958192.0;1048576;0.04644;305.04457664489746
custom_flops;['kahypar'];BB Tanner;18;0;4722655557680395454720;152655872.0;152658176.0;16777216;0.02908;309.85784125328064
custom_flops;['kahypar'];BB Tanner;30;0;344880191504874194490072900046592;301807498240.0;301807502080.0;68719476736;0.01743;987.9666886329651
flops;['kahypar'];BB Tanner;18;0;9445381800784729999616;93470720.0;93473024.0;16777216;0.02903;316.0210611820221
flops;['kahypar'];BB Tanner;30;0;6499487586466054441391886080;1179400237056.0;1179400240896.0;68719476736;0.01742;370.57087206840515
custom_flops;['greedy'];Holographic;25;0;16176;2368.0;2544.0;256;0.82656;7.479310035705566
custom_flops;['greedy'];Holographic;95;0;11479632;2572992.0;2573968.0;262144;0.8625;33.060726165771484
flops;['greedy'];Holographic;25;0;18736;3136.0;3312.0;256;0.925;0.09311342239379883
flops;['greedy'];Holographic;95;0;1471440;2025600.0;2026576.0;65536;0.39531;0.7012341022491455
custom_flops;['greedy'];Hamming MSP;7;0;1157231;1298.0;1953.0;128;0.14915;29.845238208770752
custom_flops;['greedy'];Hamming MSP;15;0;521588009615;529456.0;538335.0;65536;0.03844;115.97198748588562
flops;['greedy'];Hamming MSP;7;0;313647;1406.0;2061.0;128;0.16536;0.7953586578369141
flops;['greedy'];Hamming MSP;15;0;263956364071;10319254530.0;10319263409.0;2147483648;0.02556;4.7867431640625
custom_flops;['kahypar'];BB MSP;18;0;165506927504482824901362;1.2224294715802332e+18;1.222429471580239e+18;288230376151711744;0.08557;1561.5628910064697
custom_flops;['kahypar'];BB MSP;30;0;79653704402843310105201362782;4680504876456.0;4680504886086.0;4398046511104;0.09143;10775.249115467072
flops;['kahypar'];BB MSP;18;0;60943768364043858;6298364.0;6304142.0;2097152;0.06761;987.6978240013123
flops;['kahypar'];BB MSP;30;0;78098792079890625579318558;75471486396.0;75471496026.0;68719476736;0.09151;6065.5905067920685
