distance;name;num_run;custom_cost
4;Tanner Network;66;757877
4;Dual Surface;67;2397
4;Rotated Surface;67;543
4;Concatenated;67;73921
4;Measurement State Prep;67;1469291
4;Tanner Network;67;867777
4;Dual Surface;68;1793
4;Rotated Surface;68;521
4;Concatenated;68;100713
4;Measurement State Prep;68;1778953
4;Tanner Network;68;727409
4;Dual Surface;69;2157
4;Rotated Surface;69;541
4;Concatenated;69;89761
4;Measurement State Prep;69;2450949
4;Tanner Network;69;740237
4;Dual Surface;70;1665
4;Rotated Surface;70;495
4;Concatenated;70;53729
4;Measurement State Prep;70;1960335
4;Tanner Network;70;701325
4;Dual Surface;71;2373
4;Rotated Surface;71;555
4;Concatenated;71;83233
4;Measurement State Prep;71;1582829
4;Tanner Network;71;692465
4;Dual Surface;72;1569
4;Rotated Surface;72;535
4;Concatenated;72;87857
4;Measurement State Prep;72;1297661
4;Tanner Network;72;981457
4;Dual Surface;73;1521
4;Rotated Surface;73;511
4;Concatenated;73;52513
4;Measurement State Prep;73;1667429
4;Tanner Network;73;629133
4;Dual Surface;74;2057
4;Rotated Surface;74;513
4;Concatenated;74;75953
4;Measurement State Prep;74;1295401
4;Tanner Network;74;709517
4;Dual Surface;75;2157
4;Rotated Surface;75;497
4;Concatenated;75;97121
4;Measurement State Prep;75;1632627
4;Tanner Network;75;726813
4;Dual Surface;76;2033
4;Rotated Surface;76;497
4;Concatenated;76;64185
4;Measurement State Prep;76;1816243
4;Tanner Network;76;749037
4;Dual Surface;77;1521
4;Rotated Surface;77;591
4;Concatenated;77;80489
4;Measurement State Prep;77;3233449
4;Tanner Network;77;726481
4;Dual Surface;78;1793
4;Rotated Surface;78;531
4;Concatenated;78;73001
4;Measurement State Prep;78;1696791
4;Tanner Network;78;700393
4;Dual Surface;79;2253
4;Rotated Surface;79;595
4;Concatenated;79;111137
4;Measurement State Prep;79;2020575
4;Tanner Network;79;701901
4;Dual Surface;80;1593
4;Rotated Surface;80;565
4;Concatenated;80;55393
4;Measurement State Prep;80;1785719
4;Tanner Network;80;716529
4;Dual Surface;81;1769
4;Rotated Surface;81;549
4;Concatenated;81;71073
4;Measurement State Prep;81;2566711
4;Tanner Network;81;698029
4;Dual Surface;82;2453
4;Rotated Surface;82;555
4;Concatenated;82;73193
4;Measurement State Prep;82;1642181
4;Tanner Network;82;740273
4;Dual Surface;83;2129
4;Rotated Surface;83;479
4;Concatenated;83;83945
4;Measurement State Prep;83;1184215
4;Tanner Network;83;677841
4;Dual Surface;84;2397
4;Rotated Surface;84;529
4;Concatenated;84;75561
4;Measurement State Prep;84;1879511
4;Tanner Network;84;740045
4;Dual Surface;85;2573
4;Rotated Surface;85;613
4;Concatenated;85;54689
4;Measurement State Prep;85;1988613
4;Tanner Network;85;857581
4;Dual Surface;86;2145
4;Rotated Surface;86;509
4;Concatenated;86;80753
4;Measurement State Prep;86;1502315
4;Tanner Network;86;710257
4;Dual Surface;87;2249
4;Rotated Surface;87;547
4;Concatenated;87;71585
4;Measurement State Prep;87;1797007
4;Tanner Network;87;738225
4;Dual Surface;88;1785
4;Rotated Surface;88;531
4;Concatenated;88;69569
4;Measurement State Prep;88;2505509
4;Tanner Network;88;840233
4;Dual Surface;89;2409
4;Rotated Surface;89;583
4;Concatenated;89;55137
4;Measurement State Prep;89;2278353
4;Tanner Network;89;719693
4;Dual Surface;90;2453
4;Rotated Surface;90;523
4;Concatenated;90;68593
4;Measurement State Prep;90;1507585
4;Tanner Network;90;779369
4;Dual Surface;91;1801
4;Rotated Surface;91;467
4;Concatenated;91;85473
4;Measurement State Prep;91;1179303
4;Tanner Network;91;738833
4;Dual Surface;92;1801
4;Rotated Surface;92;519
4;Concatenated;92;87905
4;Measurement State Prep;92;1752885
4;Tanner Network;92;709937
4;Dual Surface;93;2305
4;Rotated Surface;93;543
4;Concatenated;93;77665
4;Measurement State Prep;93;1784345
4;Tanner Network;93;688145
4;Dual Surface;94;2241
4;Rotated Surface;94;527
4;Concatenated;94;54009
4;Measurement State Prep;94;1487921
